ID,X,Name,Link,Country,Kiva Status,"Kiva Risk Rating
(5 best)","Secular Rating 
(1-4)",Religious Affiliation,Comments on secular rating,"Social Rating
(1-4)",Comments on social rating,MFI Link,By,Date,Review comments,P,J,MFI Name,Timestamp,MFI Name Check
131,ok,Accion East,Lend,United States,active,3,4,Secular,Secular,2,Great business/entrepreneur program but nothing beyond that.,http://www.accionusa.org/,Petra,4/22/2011,Social - Petra - I agree,,,Accion East,,0
249,ok,Accion San Diego,Lend,United States,active,3,4,secular,"No mention of religion. P: agreed
",2,"Primarily loans, target low-moderate income people but loan rates start at 12% and they require collateral.  This isn't microfinance, it's a mini-bank... P: disagree. Credit cards still ask higher rates; many MFIs ask (much) higher rates too. They offer basic business, credit and financial training and refer for more complicated questions. I would suggest a 2",http://accionsandiego.org/index.html,Jim,9/20/2012,,,,ACCION San Diego,,0
370,ok,ACCIONA Microenergía México,Lend,Mexico,active,,4,Secular,"No mention of religion. Funded by spanish company ACCIONA and working closely with the Energy Secretariat of Mexico (SENER), the Government of Oaxaca, the Federal Commission on Electricity (CFE) and other public agencies.",2,"Non-profit organization created by ACCIONA Microenergía Foundation,  aims to bring electricity to isolated rural communities that have not been included in any electrification plan. Beside this general statement not much information. Funding of loans on Kiva will allow AMM to buy more than 140 solar systems for eight communities. Each community will pay a monthly maintenance fee that will allow AMM to pay back the loan. There is 0% interest on that 9-month loan [this kinds of contradict the 13% APR also listed on Kiva...]. 2 like Barefoot, Biobolsa, etc?  Jim - Agree.",www.accioname.org/,Alessandra,9/5/2014,,,J,ACCIONA Microenergía México,,0
217,ok,ACEP Cameroun,Lend,Cameroon,active,4,4,Secular,No mention of religion.  Founded by Cameroon government in association with French government. P agreed.,2,"Targets most vulnerable. P: indeed, the loans on Kiva are especially targeted at the poorest entrepreneurs with reasonably good conditions for them.",http://acep-cameroun.com/?lang=en,Jim,4/16/2012,,,,ACEP Cameroun,,0
246,ok,ADICLA,Lend,Guatemala,active,3,4,secular,"Couldn't find anything relating to religion.  Website and Kiva page mention ""holistic"" and ""ethical"" but no details beyond that. P: on website says to aim for development ""regardless of creed, sex etc"". ",3,"Youth entrepreneur and green loans, and borrowers make up the board.  All of the social programs and innovation seems to be related only to loans however. P: Maybe a 3, since on the website it seems they also offer agricultural training? ",http://www.adicla.org.gt/,Jim,9/20/2012,,,,ADICLA,,0
120,ok,ADIM (Asociación Alternativa Para el Desarrollo Integral de las Mujeres),Lend,Nicaragua,active,3,4,Secular,Secular,3,Good training programs for women in business and empowerment. Focus on women.,http://translate.google.com/translate?hl=en&sl=es&u=http://www.adim.org.ni/&ei=-5K0TaPAD8GDtwes76jqDg&sa=X&oi=translate&ct=result&resnum=7&ved=0CEYQ7gEwBg&prev=/search%3Fq%3DADIM%2B%28Asociaci%25C3%25B3n%2BAlternativa%26hl%3Den%26client%3Dfirefox-a%26hs%3Drrm%26rls%3Dorg.mozilla:en-US:official%26prmd%3Divns,Petra,4/22/2011,Social - Petra - agree,,,ADIM (Asociación Alternativa Para el Desarrollo Integral de las Mujeres),,0
427,ok,Adobe Capital - Mexico,Lend,Mexico,active,,4,Secular,No mention of religion,2,"Social venture capital organization that helps small businesses with a social and environmental impact and who have growth opportunities. The only Kiva loan thus far has been for FINAE to raise capital to make loans.  Therefore, the social rating is based on FINAE as an example of Adobe Capital's initiatives.  FINAE provides education loans and gets a high 2.  Due to how Adobe Capital works, each loan will likely be to a different organization and therefore will have to be rated separately, but based on Adobe's mission they would rank 2-4 so giving them a 3.  Each loan will have to be rated individually.",http://nvgroup.org/adobecapital/,Jim,5/15/2015,,,,Adobe Capital - Mexico,,0
98,ok,AFODENIC,Lend,Nicaragua,active,2.5,4,Secular,"No mention of religion or secularity.  Main source of funding is Fundacion Barcelo, which appears to be secular.",3,"Social: extended programmes: they built houses, business education provided and educational loans for students.",http://translate.google.com/translate?hl=en&sl=es&u=http://www.afodenic.com/&ei=apywTdq1NtOEtgf5ovjfCw&sa=X&oi=translate&ct=result&resnum=3&ved=0CD4Q7gEwAg&prev=/search%3Fq%3Dafodenic%26hl%3Den%26tbo%3D1%26biw%3D1145%26bih%3D858%26prmd%3Divns,Jim,4/21/2011,,,,AFODENIC,,0
452,ok,African Clean Energy (ACE),Lend,"Lesotho, South Africa",active,,4,Secular,No mention of religion,2,"Manufactures and sells high efficiency cookstoves which also generate electicity (LED lights, cell phones).  The stoves are manufactured in South Africa and shipped to Lesotho.  The stoves are USD$150, which is quite expensive compared to the competition, but the micro-generator capability is unique and that may be the US price.  It's a for-profit company.  They have an orphan project (provide stoves), but it is funded with ""donated funds"", which doesn't sound like ACE is more of a middle man than investing much in it.  Kiva loans are to finance stoves for customers.",http://www.africancleanenergy.com/,Jim,8/30/2015,,,,African Clean Energy (ACE),,0
396,ok,"African Connections,Ghana Ltd.",Lend,Ghana,active,,4,Secular,no mention of religion,2,"Kiva loans will be used for the SADA-AC project: Aim of this project is to assist small holder maize farmers with agricultural inputs and technologies to improve their productivity and move them to commercial farming. SADA is supporting the project by providing tractors, improved (hybird) maize seeds and fertilizers while AC will train farmers on improved farming methods, appropriate farm management skills, harvesting and post-harvesting marketing. Group loans where members are liable for each other. According to Kiva, African Connections integrates these smallholders into supply chains by linking farmers to local, regional, national and international markets - but I could not find this information on their website. 2 because of training beyond the protocols of  Pannar 53 maize seeds, farmers are also trained in management and marketing, and maybe even supply chains?",http://www.africanconnections.biz,Alessandra,8/3/2014,,,J,"African Connections,Ghana Ltd.",,0
319,ok,African Entrepreneur Collective (AEC),Lend,Rwanda,active,1.5,4,Secular,Secular. One current team member from Inkomoko has a history of working for christian MFIs (source: http://inkomoko.com/). The 3 others don't. ,2,"Focuses on succesful young entrepreneurs, so people who have already started a business. Offers them business training to enhance their practical skills in accounting, finance, marketing and more. Also offers mentoring and relatively low interest loans (9% per year)",http://www.africanentrepreneurcollective.org/index.html and for their Rwandan partner doing the actual work: http://inkomoko.com/,Petra,8/3/2013,Review when they have more loans available!!!,,,African Entrepreneur Collective (AEC),,0
